Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),Quantity
H8347003,ITOEN-F011X4,Y,H8347003_S_ITOEN-F011X4,NO USE - [Japan Version] Oi Ocha Dark Tea 525ml x 4 (Parallel Import) (93006),NO USE - ????????? 525ml x 4 (????) (93006),H834700301,0,offline,Y,N,23-Jul-21,29-May-22,Itoen,???,300,250,250,525 ml x 4,525 ?? x 4,AA11224510001,???,HKD,98,58,40.81633, , , , ,3
H8347003,L-IONB-001,Y,H8347003_S_L-IONB-001,IONBOXX NB-01 Mini Air Purifier,IONBOXX NB-01 ??????????,H834700301,1,online,N,N,24-Feb-22,1-Jan-99,IonBoxx,IonBoxx,210,140,210,1 PC,1,AA32230510001,???????,HKD,4999,3960,20.78416, , , , ,4
H8347003,L-NSG-016,Y,H8347003_S_L-NSG-016,[????]SWITCH - RING FIT ADVENTURE [HONGKONG VERSION][WITH CHINESE INTERFACE],[????]NINTENDO SWITCH - ?????? [???-?????],H834700301,0,online,Y,Y,5-Jul-21,1-Jan-99,Nintendo,Nintendo,400,400,250,1 PC,1?,AA31300510001,Switch ??,HKD,1980,538,72.82828, , , , ,5
H8347003,L-NSG-041,Y,H8347003_S_L-NSG-041,SWITCH GAME - MOVING OUT (parallel import),SWITCH GAME : ???? -MOVING OUT (????),H834700301,0,online,Y,Y,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,226,54.61847, , , , ,65
H8347003,L-NSG-TOYCON-1,Y,H8347003_S_L-NSG-TOYCON-1,NINTENDO Switch Labo Toy-Con 01 5 IN 1 SET(parallel import),NINTENDO ??? Switch Labo Toy-Con 01 ????(????),H834700301,0,online,Y,Y,27-Jul-21,,Nintendo,Nintendo,450,550,250,,,AA31300510001,Switch ??,HKD,988,168,82.99595, , , , ,76
H8347003,L-NSG-TOYCON-DKIT,Y,H8347003_S_L-NSG-TOYCON-DKIT,NINTENDO Switch Labo DRIVE KIT-Toy-Con 03 (parallel import),NINTENDO ??? Switch Labo Toy-Con 03 ??????(????),H834700301,0,online,Y,N,27-Jul-21,,Nintendo,Nintendo,350,250,250,,,AA31300510001,Switch ??,HKD,988,128,87.04453, , , , ,78
H8347003,NSG-001,Y,H8347003_S_NSG-001,NO USE,NO USE,H834700301,0,offline,Y,N,1-Jul-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31253005001,?????,HKD,498,438,12.04819, , , , ,
H8347003,NSG-119,Y,H8347003_S_NSG-119,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,238,52.20884, , , , ,
H8347003,NSG-120,Y,H8347003_S_NSG-120,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
H8347003,NSG-121,Y,H8347003_S_NSG-121,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
H8347003,NSG-122,Y,H8347003_S_NSG-122,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,238,52.20884, , , , ,32
H8347003,NSG-123,Y,H8347003_S_NSG-123,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,198,60.24096, , , , ,
H8347003,NSG-124,Y,H8347003_S_NSG-124,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,298,40.16064, , , , ,
H8347003,NSG-125,Y,H8347003_S_NSG-125,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,298,40.16064, , , , ,342
H8347003,NSG-126,Y,H8347003_S_NSG-126,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,268,46.18474, , , , ,
H8347003,NSG-127,Y,H8347003_S_NSG-127,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,228,54.21687, , , , ,
H8347003,NSG-128,Y,H8347003_S_NSG-128,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,228,54.21687, , , , ,
H8347003,NSG-129,Y,H8347003_S_NSG-129,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,228,54.21687, , , , ,4
H8347003,NSG-130,Y,H8347003_S_NSG-130,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,198,60.24096, , , , ,
H8347003,NSG-131,Y,H8347003_S_NSG-131,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
H8347003,NSG-132,Y,H8347003_S_NSG-132,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
H8347003,L-APPLE-002,Y,H8347003_S_L-APPLE-002,AirPods Pro,AirPods Pro ??? ??????,H834700309,1,offline,Y,N,22-Aug-21,22-Oct-21,APPLE,APPLE,210,120,210,1 SET,1 SET,AA31150500001,????,HKD,2480,1595,35.68548, , , , ,
H8347003,L-GOOG-01,Y,H8347003_S_L-GOOG-01,Google Chromecast 4 with Google TV Screen Mirroring Dongle-White|Disney+(parallel import),Google TV with Chromecast 4 ?????????-??|??? Disney+ (????),H834700309,7,online,N,N,16-Dec-21,1-Jan-99,Google,Google,210,210,0,,,AA32620500001,Google Home ?????,HKD,788,448,43.14721, , , , ,
H8347003,L-NINT-001,Y,H8347003_S_L-NINT-001,Splatoon Canvas Box Large Size,Splatoon ????????????,H834700309,0,offline,Y,N,5-Jul-21,27-Nov-21,Nintendo,Nintendo,450,500,100,1 PC,1?,AA31300510001,Switch ??,HKD,488,128,73.77049, , , , ,
H8347003,L-NSA-001,Y,H8347003_S_L-NSA-001,SWITCH JOY-CON NEON RED AND NEON BLUE NS EU VERSION(parallel import),SWITCH JOY-CON ??????? (???)(????),H834700309,3,online,N,N,5-Jul-21,,Nintendo,Nintendo,140,210,130,1 PC,1?,AA31300515001,Switch ??,HKD,1026,568,44.63938, , , , ,23
H8347003,L-NSA-002,Y,H8347003_S_L-NSA-002,Switch NS Joy-con Splatoon Controller EU VERSION(parallel import),?????? ????? ????? ??  ??(???)(????),H834700309,3,online,N,N,30-Sep-21,,Nintendo,Nintendo,210,120,210,,,AA31300515001,Switch ??,HKD,1026,568,44.63938, , , , ,
H8347003,L-NSA-003,Y,H8347003_S_L-NSA-003,[????]Switch NS Joy-con PURPLE / ORANGE Controller,[????]SWITCH JOY-CON ? / ? ????? ??  ??,H834700309,14,online,N,N,10-Oct-21,,Nintendo,Nintendo,210,120,210,,,AA31300515001,Switch ??,HKD,1026,568,44.63938, , , , ,
H8347003,L-NSA-004,Y,H8347003_S_L-NSA-004,Switch NS Joy-con BLUE / YELLOW Controller EU VERSION(parallel import),SWITCH JOY-CON ?/? ????? ??  ??(???)(????),H834700309,4,online,N,N,10-Oct-21,,Nintendo,Nintendo,210,120,210,,,AA31300515001,Switch ??,HKD,1026,568,44.63938, , , , ,
H8347003,L-NSA-PRO1,Y,H8347003_S_L-NSA-PRO1,[HK OFFICAL ]Nintendo NS Switch Pro Controller - Black,[????]Switch Pro Controller NS ??? ??????? #??#??#?? - ??,H834700309,12,online,N,N,28-Aug-21,,Nintendo,Nintendo,210,120,210,1PC,1PC,AA31300515001,Switch ??,HKD,898,528,41.20267, , , , ,
H8347003,L-NSA-PRO2,Y,H8347003_S_L-NSA-PRO2,[SUPER Smash Bros. Ultimate EDITION] NS Switch Pro Controller,[????] ???????? ???Switch Pro Controller NS ??? ???????,H834700309,5,online,N,N,28-Aug-21,,Nintendo,Nintendo,210,120,210,1 PC,1 PC,AA31300515001,Switch ??,HKD,988,588,40.48583, , , , ,
H8347003,L-NSA-PRO3,Y,H8347003_S_L-NSA-PRO3,[Xenoblade 2 EDITION] NS Switch Pro Controller,[????] ????2 ???Switch Pro Controller NS ??? ???????,H834700309,9,online,N,N,17-Dec-21,,Nintendo,Nintendo,210,120,210,1 PC,1 PC,AA31300515001,Switch ??,HKD,988,588,40.48583, , , , ,
H8347003,L-NSA-PRO4,Y,H8347003_S_L-NSA-PRO4,[SPLTOON 2 EDITION] NS Switch Pro Controller,[????]?????2 ???Switch Pro Controller NS ??? ???????,H834700309,10,online,N,N,17-Dec-21,,Nintendo,Nintendo,210,120,210,1 PC,1 PC,AA31300515001,Switch ??,HKD,988,588,40.48583, , , , ,
H8347003,L-NSC-002,Y,H8347003_S_L-NSC-002,[HK Version]Switch OLED Newest Nintendo Game Console White color ,[????] Switch OLED ????? ??? Nintendo ???? ?? ????,H834700309,0,online,Y,N,18-Dec-21,,Nintendo,Nintendo,250,300,180,1 PC,1 PC,AA31300505001,Switch ??,HKD,3480,2688,22.75862, , , , ,
H8347003,L-NSC-003,Y,H8347003_S_L-NSC-003,[HK Version]Switch OLED Newest Nintendo Game Console NEON color(RED/BLUE),[????] Switch OLED ????? ??? Nintendo ???? ??? ????,H834700309,0,offline,Y,N,18-Dec-21,6-Mar-22,Nintendo,Nintendo,250,180,180,1 PC,1 PC,AA31300505001,Switch ??,HKD,3480,2688,22.75862, , , , ,23
H8347003,L-NSG-001,Y,H8347003_S_L-NSG-001,Switch Game - Mario Party ????(parallel import),Switch Game - Mario Party [????](????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,438,12.04819, , , , ,
H8347003,L-NSG-002,Y,H8347003_S_L-NSG-002,Switch Games - Super Mario Odyssey [CHI/ENG],Switch??- ??? [????],H834700309,0,online,Y,N,5-Jul-21,1-Jan-99,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,662,418,36.85801, , , , ,
H8347003,L-NSG-003,Y,H8347003_S_L-NSG-003,SWITCH GAME-NEW SUPER MARIO BROS. U DELUXE [CHI/ENG],Switch?? -Super Mario Bros U ???????U ??? [????],H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,663,419,36.80241, , , , ,
H8347003,L-NSG-005,Y,H8347003_S_L-NSG-005,Switch Game - Mario Kart 8 Deluxe - Nintendo [CHI/ENG],Switch?? - ?????8 ??? - Nintendo [????],H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,438,12.04819, , , , ,
H8347003,L-NSG-007,Y,H8347003_S_L-NSG-007,Switch Game-Sushu Stiker-The Way of Sushido [ENG ONLY],Switch Game-Sushu Stiker-The Way of Sushido [???],H834700309,0,offline,Y,N,5-Jul-21,7-Jun-22,Nintendo,Nintendo,210,210,0,1 PC,1?,AA31300510001,Switch ??,HKD,498,128,74.29719, , , , ,4
H8347003,L-NSG-008,Y,H8347003_S_L-NSG-008,Switch Game- SUPER Smash Bros. Ultimate(parallel import),Switch ?? - ???????? ???(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,438,12.04819, , , , ,3
H8347003,L-NSG-010,Y,H8347003_S_L-NSG-010,Switch Game- ????POKKÉN TOURNAMENT DX,Switch Game- ????POKKÉN TOURNAMENT DX,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,694,438,36.88761, , , , ,
H8347003,L-NSG-011,Y,H8347003_S_L-NSG-011,Switch Game- KIRBY STAR ALLIES,Switch Game- KIRBY STAR ALLIES,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,694,438,36.88761, , , , ,
H8347003,L-NSG-012,Y,H8347003_S_L-NSG-012,Switch Game- ARMS,Switch Game- ARMS,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,694,438,36.88761, , , , ,
H8347003,L-NSG-013,Y,H8347003_S_L-NSG-013,Switch Games - DONKEY KONG COUNTRY: TROPICAL FREEZE,Switch Games - DONKEY KONG COUNTRY: TROPICAL FREEZE,H834700309,0,offline,Y,N,5-Jul-21,6-Apr-22,Nintendo,Nintendo,210,210,0,1 PC,1?,AA31300510001,Switch ??,HKD,630,398,36.8254, , , , ,
H8347003,L-NSG-014,Y,H8347003_S_L-NSG-014,Switch Game-SPLTOON 2(parallel import),Switch Game-?????2 SPLTOON 2(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,438,12.04819, , , , ,
H8347003,L-NSG-015,Y,H8347003_S_L-NSG-015,SWITCH Super Mario Maker 2 (CHI/JAP/ENG),SWITCH ???????? 2 (??????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,688,438,36.33721, , , , ,
H8347003,L-NSG-017,Y,H8347003_S_L-NSG-017,SWITCH GAME ANIMAL CROSSING - (parallel import),SWITCH ???? Animal Crossing (??????)(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,768,428,44.27083, , , , ,2
H8347003,L-NSG-019,Y,H8347003_S_L-NSG-019,Luigi Mansion 3 (parallel import),Luigi Mansion 3 ???? ?????(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,689,418,39.33237, , , , ,
H8347003,L-NSG-021,Y,H8347003_S_L-NSG-021,Hello Kitty - KRUISERS WITH SANRIO FRIEND,Hello Kitty - KRUISERS WITH SANRIO FRIEND,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,298,40.16064, , , , ,
H8347003,L-NSG-022,Y,H8347003_S_L-NSG-022,ZELDA -BREATH OG THE WILD(parallel import),?????-????(????),H834700309,0,online,Y,N,5-Jul-21,1-Jan-99,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,448,10.04016, , , , ,
H8347003,L-NSG-023,Y,H8347003_S_L-NSG-023,JUST DANCE 2020(parallel import),JUST DANCE 2020(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,259,47.99197, , , , ,
H8347003,L-NSG-024,Y,H8347003_S_L-NSG-024,MARIO&SONIC- AT THE TOKYO 2020 OLYMPIC GAME(parallel import),MARIO&SONIC-2020 ?????(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,338,32.12851, , , , ,
H8347003,L-NSG-027,Y,H8347003_S_L-NSG-027,THE LEGO MOVIE 2,????? 2,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,630,398,36.8254, , , , ,
H8347003,L-NSG-029,Y,H8347003_S_L-NSG-029,LEGO- THE INCREDIBLES,LEGO- ???????,H834700309,0,offline,Y,N,5-Jul-21,22-Aug-21,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,630,398,36.8254, , , , ,32
H8347003,L-NSG-031,Y,H8347003_S_L-NSG-031,JUST DANCE 2021,Just Dance 2021 | ???? 2021 - ?????,H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,510.8,328,35.787, , , , ,
H8347003,L-NSG-032,Y,H8347003_S_L-NSG-032,CONSTRUCTOR PLUS-BUILDING JUST GOT BIGGER(parallel import),CONSTRUCTOR PLUS-BUILDING JUST GOT BIGGER(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,198,60.24096, , , , ,
H8347003,L-NSG-033,Y,H8347003_S_L-NSG-033,MINECRAFT-STORY HOME (SEASON 2)(parallel import),MINECRAFT-STORY HOME (SEASON 2)(????),H834700309,0,offline,Y,N,5-Jul-21,31-Mar-22,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,268,46.18474, , , , ,
H8347003,L-NSG-034,Y,H8347003_S_L-NSG-034,TENNIS WORLD TOUR(parallel import),???????????(?/??)(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,238,52.20884, , , , ,
H8347003,L-NSG-035,Y,H8347003_S_L-NSG-035,SWITCH GAME - BEE SIMULATOR(parallel import),SWITCH GAME - BEE SIMULATOR(?????)(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,468,168,64.10256, , , , ,
H8347003,L-NSG-036,Y,H8347003_S_L-NSG-036,SWITCH GAME-MUSYNX(parallel import),SWITCH GAME-MUSYNX(?????)(????),H834700309,0,offline,Y,N,5-Jul-21,1-Jan-22,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,468,218,53.4188, , , , ,
H8347003,L-NSG-037,Y,H8347003_S_L-NSG-037,SWITCH GAME - THE UNICORN PRINCESS(parallel import),SWITCH GAME - THE UNICORN PRINCESS(?????)(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,468,168,64.10256, , , , ,
H8347003,L-NSG-038,Y,H8347003_S_L-NSG-038,FITNESS BOXING 2 -(parallel import),???? 2-Fitness Boxing 2-?????(????),H834700309,0,offline,Y,N,5-Jul-21,8-Jul-22,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,388,22.08835, , , , ,
H8347003,L-NSG-040,Y,H8347003_S_L-NSG-040,SWITCH GAME : Roller Coaster-TYCOON ADVENTURES(parallel import),SWITCH GAME : Roller Coaster-TYCOON ADVENTURES(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,551,348,36.84211, , , , ,
H8347003,L-NSG-043,Y,H8347003_S_L-NSG-043,SWITCH GAME: Aladdin and LION KING (parallel import),SWITCH GAME: Aladdin and LION KING (????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,298,40.16064, , , , ,
H8347003,L-NSG-045,Y,H8347003_S_L-NSG-045,SWITCH GAME:DRAGONBALL 2 XENOVERSE(parallel import),SWITCH GAME:DRAGONBALL 2 XENOVERSE(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,298,40.16064, , , , ,
H8347003,L-NSG-046,Y,H8347003_S_L-NSG-046,SWITCH GAME :MOTOGO 19(parallel import),SWITCH GAME :MOTOGO 19(????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,248,50.2008, , , , ,32
H8347003,L-NSG-047,Y,H8347003_S_L-NSG-047,SWITCH GAME:PAPER MARIO - THE ORIGAMIKING[CHI/ENG](parallel import),SWITCH GAME:????? ????[?????](????),H834700309,0,online,Y,N,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,646,408,36.84211, , , , ,
